Manufacturer,Model,Part #,Type,Color,Includes Power Supply,External 3.5 Bays,External 5.25 Bays,Internal 2.5 Bays,Internal 3.5 Bays,Front Panel USB 3.0 Ports,Maximum Video Card Length
Cooler Master,Silencio 352,SIL-352M-KKN1,MicroATX Mini Tower,Black,No,1,1,4,2,Yes,13.98
Cooler Master,K280,RC-K280-KKN1,ATX Mid Tower,Black,No,1,3,1,6,Yes,12.40
Cooler Master,N400,NSE-400-KKN2,ATX Mid Tower,Black,No,1,2,3,7,Yes,12.60
Cooler Master,N300,NSE-300-KWN1,ATX Mid Tower,Black,No,1,2,1,7,Yes,12.60
Thermaltake,Versa N21,CA-1D9-00M1WN-00,ATX Mid Tower,Black,No,1,1,1,3,Yes,9.84
Thermaltake,Commander MS-I ID,VN400A1W2N,ATX Mid Tower,Black,No,1,3,1,5,Yes,12.60
Cooler Master,K380,RC-K380-KWN1,ATX Mid Tower,Black/Red,No,2,3,3,5,Yes,12.44
Cougar,MX300,MX300,ATX Mid Tower,Black,No,1,2,3,3,Yes,12.20
Cougar,Solution (Black),Solution,ATX Mid Tower,Black,No,1,3,1,6,Yes,12.60
Cooler Master,Force 500,FOR-500-KKN1,ATX Mid Tower,Black,No,1,2,1,7,Yes,12.60
Thermaltake,Urban S1,CA-1A8-00M1NN-00,MicroATX Mini Tower,Black,No,1,2,1,5,Yes,10.24
BitFenix,Ghost (Black),BFC-GHO-300-KKN1-RP,ATX Mid Tower,Black,No,1,3,3,4,Yes,12.60
Aerocool,DS Cube Black Edition Silent Cube,EN52261,MicroATX Mini Tower,Black,No,1,1,2,2,Yes,12.60
BitFenix,Merc Alpha (Black),BFC-MRC-100-KKX1-U3,ATX Mid Tower,Black,No,1,3,1,6,Yes,10.63
Cougar,Volant (Black),Volant,ATX Mid Tower,Black,No,1,3,1,6,Yes,12.60
SHARKOON,Mask,4044951014170,ATX Mid Tower,Black,No,1,2,4,3,Yes,12.80
Silverstone,RL01B-USB 3.0 (Black),SST-RL01B-USB 3.0,ATX Mid Tower,Black,No,1,3,1,5,Yes,10.98
Thermaltake,ARMOR A30i,VM700A1W2N,MicroATX Mini Tower,Black,No,1,2,2,3,Yes,13.78
Aerocool,DS Cube White Edition Silent Cube,EN52285,MicroATX Mini Tower,White,No,1,1,2,2,Yes,12.60
Silverstone,RL01B-W-USB 3.0 (Black),SST-RL01B-W-USB 3.0<br/>(or) RL01B-W-USB 3.0,ATX Mid Tower,Gray/Black,No,1,3,1,5,Yes,10.98
Thermaltake,Urban SD1,CA-1A9-00S1NN-00,MicroATX Mini Tower,Black,No,1,2,2,2,Yes,13.78
Cooler Master,K280 USB3.0,RC-K280-KKN4,ATX Mid Tower,Black,No,1,3,1,6,Yes,12.40
Aerocool,DS Cube Red Edition Silent Cube,EN52339,MicroATX Mini Tower,Black/Red,No,1,1,2,2,Yes,12.60
Cougar,Solution AF-2 (Green/Black),SolutionAF-2,ATX Mid Tower,Black/Green,No,1,3,1,6,Yes,12.60
Azza,Orion 202 EVO,CSAZ-202EVO,ATX Mid Tower,Black/Red,No,2,4,4,4,No,13.39
Thermaltake,Versa II,VO700A1N3N,ATX Mid Tower,Black,No,1,3,1,5,Yes,12.60
Thermaltake,Urban R21,CA-1A6-00M1WN-00,ATX Mid Tower,Black,No,1,3,1,5,Yes,12.60
Aerocool,DS Cube Gold Edition Silent Cube,EN52391,MicroATX Mini Tower,Black/Gold,No,1,1,2,2,Yes,12.60
Antec,GX500 ILLUSION,GX500 ILLUSION,ATX Mid Tower,Black,No,1,2,1,4,Yes,14.96
Cooler Master,Silencio 450,RC-450-KKN1,ATX Mid Tower,Black,No,1,3,1,5,Yes,11.06
Thermaltake,Armor A30,VM70001W2Z,ATX Mini Tower,Black,No,1,2,2,2,Yes,13.78
Thermaltake,ARMOR A30i Speedy,VM700A3W2N,MicroATX Mini Tower,Black/Red,No,1,2,2,3,Yes,13.78
Cougar,Solution RSB400 (Black),SolutionRSB400,ATX Mid Tower,Black,400 Watts,1,3,1,6,Yes,12.60
Antec,DF-10,DF-10,ATX Mid Tower,Black,No,1,3,1,6,No,11.50
Antec,DF-35,DF-35,ATX Mid Tower,Black,No,1,3,1,2,No,11.50
Thermaltake,VO700A1W3N,VO700A1W3N,ATX Mid Tower,Black,No,1,3,1,5,Yes,12.60
Thermaltake,VM20001W2Z,VM20001W2Z,ATX Mid Tower,Black,No,1,3,1,5,Yes,12.01
Antec,One Hundred USM (Black),One Hundred USM,ATX Mid Tower,Black,No,1,3,1,6,No,12.60
Sentey,Shield,GS-6090,ATX Mid Tower,Black,No,1,3,2,4,Yes,13.39
Rosewill,FB-03,FB-03,ATX Mid Tower,Black,No,1,3,1,4,No,13.00
Aerocool,DS Cube Orange Edition Silent Cube,EN52346,MicroATX Mini Tower,Black/Orange,No,1,1,2,2,Yes,12.60
Sentey,CS1-1399 PLUS,CS1-1399 PLUS,ATX Mid Tower,Black/Red,No,1,3,1,5,Yes,12.60
Antec,DF-30,DF-30,ATX Mid Tower,Black,No,1,3,1,6,No,11.50
Lian-Li,PC-A05FNA,PC-A05FNA,ATX Mid Tower,Silver,No,1,2,2,3,Yes,11.02
Apevia,X-HERMES-GN,X-HERMES-GN,ATX Mid Tower,Black/Green,No,1,4,1,4,Yes,15.98
Apevia,X-QPACK3-RD,X-QPACK3-RD,MicroATX Mini Tower,Black/Red,No,1,1,1,2,Yes,12.60
Zalman,Z9 Plus,Z9 Plus,ATX Mid Tower,Black,No,1,3,1,5,No,11.42
DIYPC,Adventurer-I8-BL,Adventurer-I8-BL,ATX Mid Tower,Black/Blue,No,1,1,4,2,Yes,15.75
Azza,Hurrican 2000R,CSAZ-2000R,ATX Full Tower,Black,No,1,4,2,6,Yes,15.75
Xigmatek,Asgard Pro (Black),CCC-AE37BS-U02,ATX Mid Tower,Black,No,1,3,1,7,Yes,13.25
