Manufacturer,PartNum,Capacity,Interface,Cache,FormFactor
Western Digital,WD1003FZEX,1000,SATA 6 Gb/s,64MB,3.5
Western Digital,WD2003FZEX,2000,SATA 6 Gb/s,64MB,3.5
Western Digital,WD4003FZEX,4000,SATA 6 Gb/s,64MB,3.5
Intel,SSDSC2BW120A401,120,SATA 6 Gb/s,N/A,2.5
Intel,SSDSC2BW240A401,240,SATA 6 Gb/s,N/A,2.5
Western Digital,WD10EZEX,1000,SATA 6 Gb/s,64MB,3.5
Samsung,MZ-75E250B/AM,250,SATA 6 Gb/s,N/A,2.5
Seagate,ST2000DM001,2000,SATA 6 Gb/s,64MB,3.5
Samsung,MZ-75E500B/AM,500,SATA 6 Gb/s,N/A,2.5
Kingston,SV300S37A/120G,120,SATA 6 Gb/s,N/A,2.5
Samsung,MZ-75E120B/AM,120,SATA 6 Gb/s,N/A,2.5
Seagate,ST3000DM001,3000,SATA 6 Gb/s,64MB,3.5
Samsung,MZ-75E1T0B/AM,1000,SATA 6 Gb/s,N/A,2.5
Crucial,CT250BX100SSD1,250,SATA 6 Gb/s,N/A,2.5
Sandisk,SDSSDA-120G-G25,120,SATA 6 Gb/s,N/A,2.5
Samsung,MZ-7KE512BW,512,SATA 6 Gb/s,N/A,2.5
Samsung,MZ-7KE2T0BW,2000,SATA 6 Gb/s,N/A,2.5
Kingston,SV300S37A/240G,240,SATA 6 Gb/s,N/A,2.5
Seagate,ST1000DX001,1000,SATA 6 Gb/s,64MB,3.5
Samsung,MZ-7TE250BW,250,SATA 6 Gb/s,N/A,2.5
Samsung,MZ-7KE256BW,256,SATA 6 Gb/s,N/A,2.5
Sandisk,SDSSDA-240G-G25,240,SATA 6 Gb/s,N/A,2.5
OCZ,ARC100-25SAT3-240G,240,SATA 6 Gb/s,N/A,2.5
Seagate,ST2000DX001,2000,SATA 6 Gb/s,64MB,3.5
Samsung,MZ-7KE1T0BW,1000,SATA 6 Gb/s,N/A,2.5
Kingston,SHFS37A/120G,120,SATA 6 Gb/s,N/A,2.5
Seagate,ST8000AS0002,8000,SATA 6 Gb/s,128MB,3.5
Seagate,ST3250312AS,250,SATA 6 Gb/s,8MB,3.5
Toshiba,DT01ACA100,1000,SATA 6 Gb/s,32MB,3.5
Crucial,CT500BX100SSD1,500,SATA 6 Gb/s,N/A,2.5
Samsung,MZ-7TE120BW,120,SATA 6 Gb/s,N/A,2.5
Western Digital,WD6001FZWX,6000,SATA 6 Gb/s,128MB,3.5
Crucial,CT512MX100SSD1,512,SATA 6 Gb/s,N/A,2.5
Western Digital,WD20EZRX,2000,SATA 6 Gb/s,64MB,3.5
Samsung,MZ-75E2T0B/AM,2000,SATA 6 Gb/s,N/A,2.5
Western Digital,WD30EFRX,3000,SATA 6 Gb/s,64MB,3.5
Western Digital,WD3003FZEX,3000,SATA 6 Gb/s,64MB,3.5
Samsung,MZ-7TE1T0BW,1000,SATA 6 Gb/s,N/A,2.5
Western Digital,WD1002FAEX,1000,SATA 6 Gb/s,64MB,3.5
Western Digital,WD10EZRX,1000,SATA 6 Gb/s,64MB,3.5
Toshiba,PH3500U-1I72,5000,SATA 6 Gb/s,128MB,3.5
Western Digital,WD30EZRX,3000,SATA 6 Gb/s,64MB,3.5
Hitachi,0F23668,8000,SATA 6 Gb/s,128MB,3.5
Intel,SSDSC2BA012T401,1.2000,SATA 6 Gb/s,N/A,2.5
Samsung,MZ-7KE128BW,128,SATA 6 Gb/s,N/A,2.5
Seagate,ST500DM002,500,SATA 6 Gb/s,16MB,3.5
Sandisk,SD8SBAT-128G-1122,128,SATA 6 Gb/s,N/A,2.5
Kingston,SHFS37A/240G,240,SATA 6 Gb/s,N/A,2.5
OCZ,TRN100-25SAT3-240G,240,SATA 6 Gb/s,N/A,2.5
Samsung,MZ-7PD256BW,256,SATA 6 Gb/s,N/A,2.5
Western Digital,WD5000AAKX,500,SATA 6 Gb/s,16MB,3.5
Intel,SSDSC2BP240G4R5,240,SATA 6 Gb/s,N/A,2.5
Crucial,CT256MX100SSD1,256,SATA 6 Gb/s,N/A,2.5
Crucial,CT250MX200SSD1,250,SATA 6 Gb/s,N/A,2.5
