MOBO Manufacturer,MOBO Part #,1066,1333,1600,1800,1866,2000,2133,2200,2400,2500,2600,2666,2800,2933,3000,3100,3200,3300
Asus,Z170-A,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1
Asus,Z97-A,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Asus,MAXIMUS VIII HERO,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1
Gigabyte,GA-H170N-WIFI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MSI,X99S SLI Plus<br/>(or) 7885-002R,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0
Gigabyte,GA-Z97X-UD3H-BK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Gigabyte,GA-Z97X-UD3H-BK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
ASRock,Z97 PRO4,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0
MSI,Z97SSLIKrait Edition<br/>(or) Z97S SLI KRAIT EDITION,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0
MSI,B150M BAZOOKA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MSI,B150M MORTAR,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gigabyte,GA-Z97X-SLI,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Gigabyte,GA-H170M-D3H,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Foxconn,H97M Plus,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gigabyte,GA-H97-D3H<br/>(or) H97-D3H,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASRock,H170 Pro4S,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ASRock,Fatal1ty H97 Killer,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSI,H170A PC Mate,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ASRock,H170 Pro4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Asus,Z97-E,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0
ASRock,Z97M OC Formula,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1
Asus,H170I-PLUS D3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MSI,B150 Gaming M3,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
Asus,H170M-PLUS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gigabyte,GA-Z97-HD3P,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Gigabyte,GA-Z97X-Gaming 3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
MSI,Z170M Mortar,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0
Asus,H170-PRO,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gigabyte,GA-H170-D3HP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MSI,Z170A PC MATE<br/>(or) 7971-001R,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0
ASRock,Fatal1ty H170 Performance<br/>(or) H170 Performance,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ASRock,Z170 Pro4S,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0
ASRock,H97M WS,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASRock,Fatal1ty Z97 Killer,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0
ASRock,Z97 KILLER,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0
MSI,H170 Gaming M3,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0
MSI,Z170-A PRO,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0
ASRock,Z97 EXTREME4,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0
Gigabyte,GA-H170-GAMING 3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gigabyte,GA-Z97MX-Gaming 5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
MSI,H170A Gaming Pro,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MSI,B150A Gaming Pro,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ASRock,Z170 Pro4,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0
Gigabyte,GA-H170N-WIFI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Asus,Z97-E/USB3.1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0
Asus,Z170M-PLUS,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1
ASRock,Z97E-ITX/ac,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0
ASRock,Fatal1ty Z97M Killer,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1
Gigabyte,GA-Z97X-Gaming 5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ASRock,Fatal1ty Z97X Killer,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0
