Manufacturer,PartNum,Type,DDRType,Speed,Size,CAS,Voltage,HeatSpreader,ECC,Registered
A-Data,AX4U3000W4G16-DGZ,288-pin DIMM,DDR4,3000,8,16,1.35,Yes,No,No
A-Data,AX3U1333GB2G8-2G,240-pin DIMM,DDR3,1333,4,8,1.55,Yes,No,No
A-Data,AX3U1600PB2G8-3P,240-pin DIMM,DDR3,1600,6,8,1.55,Yes,No,No
A-Data,AD3U1333C4G9-DRH,240-pin DIMM,DDR3,1333,8,9,1.5,Yes,No,No
A-Data,AXDU1333GW8G9-2G,240-pin DIMM,DDR3,1333,16,9,1.35,Yes,No,No
A-Data,AX3U1866GC4G9B-DG2,240-pin DIMM,DDR3,1866,8,9,1.65,Yes,No,No
A-Data,AXDU1333PC4G8-2P,240-pin DIMM,DDR3,1333,8,8,1.35,Yes,No,No
A-Data,AX3U1600W8G9-DB,240-pin DIMM,DDR3,1600,16,9,1.5,Yes,No,No
A-Data,AX3U2800W4G12-DMV,240-pin DIMM,DDR3,2800,8,11,1.65,Yes,No,No
A-Data,AX3U2133W8G10-DBV-RG,240-pin DIMM,DDR3,2133,16,10,1.65,Yes,No,No
A-Data,AX4U2133W8G13-DRZ,288-pin DIMM,DDR4,2133,16,13,1.2,Yes,No,No
A-Data,AX3U2400GW4G11-DG2,240-pin DIMM,DDR3,2400,8,11,1.65,Yes,No,No
AMD,AE34G1609U1,240-pin DIMM,DDR3,1600,4,9,1.5,Yes,No,No
AMD,AE34G1339U2,240-pin DIMM,DDR3,1333,4,9,1.5,Yes,No,No
AMD,AP316G1869U2K,240-pin DIMM,DDR3,1866,16,9,1.5,Yes,No,No
AMD,R538G1601U2S,240-pin DIMM,DDR3,1600,8,11,1.5,Yes,No,No
AMD,R9316G2401U2K,240-pin DIMM,DDR3,2400,16,11,1.65,Yes,No,No
AMD,R938G2401U1K,240-pin DIMM,DDR3,2400,8,11,1.65,Yes,No,No
AMD,R334G1339U1,240-pin DIMM,DDR3,1333,4,9,1.5,Yes,No,No
AMD,R534G1601U1-G,240-pin DIMM,DDR3,1600,4,11,1.5,Yes,No,No
AMD,R938G2130U1K,240-pin DIMM,DDR3,2133,8,10,1.65,Yes,No,No
AMD,AG316G2130U1Q,240-pin DIMM,DDR3,2133,16,10,1.65,Yes,No,No
Apotop,U3A8Gx2-18C9AB,240-pin DIMM,DDR3,1866,16,9,1.5,Yes,No,No
Avexir,AVD3UH16000908G-2BZ1,240-pin DIMM,DDR3,1600,16,9,1.5,Yes,No,No
Crucial,CT2K4G4RFS8213,288-pin DIMM,DDR4,2133,8,15,1.2,No,Yes,Yes
Crucial,BLT4G3D1608DT1TX0,240-pin DIMM,DDR3,1600,4,8,1.5,Yes,No,No
Crucial,BLE2K4G4D26AFEA,288-pin DIMM,DDR4,2666,8,16,1.2,Yes,No,No
Crucial,BLT4G3D1608DT2TXOB,240-pin DIMM,DDR3,1600,4,8,1.5,Yes,No,No
GeIL,GEV316GB2133C10ADC,240-pin DIMM,DDR3,2133,16,10,1.65,Yes,No,No
GeIL,GLW416GB3466C16QK,288-pin DIMM,DDR4,3600,16,17,1.35,Yes,No,No
GeIL,GLWW4128GB2400C14DQC,288-pin DIMM,DDR4,2400,128,14,1.35,Yes,No,No
GeIL,GUP34GB2000C9DC,240-pin DIMM,DDR3,2000,4,9,1.65,Yes,No,No
HP,647901-B21,240-pin DIMM,DDR3,1333,16,9,1.35,No,No,Yes
IBM,00D4968,240-pin DIMM,DDR3,1600,16,11,1.5,No,Yes,Yes
Kingston,KTD-PE421/16G,288-pin DIMM,DDR4,2133,16,15,1.2,No,Yes,Yes
Kingston,KHX18C9T3K4/16X,240-pin DIMM,DDR3,1866,16,9,1.65,Yes,No,No
Kingston,KHX18C10T3K2/8,240-pin DIMM,DDR3,1866,8,10,1.5,Yes,No,No
Mushkin,996988F,240-pin DIMM,DDR3,1600,8,9,1.35,Yes,No,No
Mushkin,997183,288-pin DIMM,DDR4,2133,16,15,1.2,No,No,No
Mushkin,997137,240-pin DIMM,DDR3,1866,8,13,1.5,No,Yes,Yes
Panram,PUD42400C158G4NJW,288-pin DIMM,DDR4,2400,16,15,1.35,Yes,No,No
Pareema,MD316D81610L1,240-pin DIMM,DDR3,1600,8,10,1.5,No,No,No
Patriot,PSD34G16002H,240-pin DIMM,DDR3,1600,4,9,1.7,Yes,No,No
Patriot,PG38G1333EL,240-pin DIMM,DDR3,1333,8,9,1.5,Yes,No,No
Patriot,PV48G266C5K,288-pin DIMM,DDR4,2666,8,15,1.2,Yes,No,No
PNY,MD16384KD3-1866-X9,240-pin DIMM,DDR3,1866,16,9,1.5,Yes,No,No
PNY,MD8GK2D4240015AB,288-pin DIMM,DDR4,2400,8,15,1.2,Yes,No,No
Samsung,M386B4G70DM0-YK0,240-pin DIMM,DDR3,1600,32,11,1.35,Yes,Yes,Yes
Silicon Power,SP008GXLYU18ANDA,240-pin DIMM,DDR3,1866,8,9,1.5,Yes,No,No
Team,TDKED48G2666HC15ADC01,288-pin DIMM,DDR4,2800,8,15,1.2,Yes,No,No
